ngan_hang,rate12,updated_at_vn,updated_at_webgia
Agribank,4.7,,
Bắc Á,6.85,,
Bảo Việt,5.8,,
BIDV,5.2,,
GPBank,5.2,,
Hong Leong,4.6,,
Indovina,5.8,,
Kiên Long,5.5,,
MSB,5.3,,
MB,4.85,,
OCB,6.5,,
oceanbank,5.7,,
PGBank,7.2,,
PublicBank,6.2,,
PVcomBank,9.0,,
Saigonbank,6.3,,
SCB,3.7,,
SeABank,4.5,,
VCBNeo,5.3,,
VietCapitalBank,6.45,,
Vietcombank,4.6,,
VietinBank,5.2,,
VPBank,5.8,,
VRB,6.2,,
Agribank,4.7,2026-02-06 10:49:06,2026-02-06 10:40:22
Bắc Á,6.85,2026-02-06 10:49:06,2026-02-06 10:40:22
Bảo Việt,5.8,2026-02-06 10:49:06,2026-02-06 10:40:22
BIDV,5.2,2026-02-06 10:49:06,2026-02-06 10:40:22
GPBank,5.2,2026-02-06 10:49:06,2026-02-06 10:40:22
Hong Leong,4.6,2026-02-06 10:49:06,2026-02-06 10:40:22
Indovina,5.8,2026-02-06 10:49:06,2026-02-06 10:40:22
Kiên Long,5.5,2026-02-06 10:49:06,2026-02-06 10:40:22
MSB,5.3,2026-02-06 10:49:06,2026-02-06 10:40:22
MB,4.85,2026-02-06 10:49:06,2026-02-06 10:40:22
OCB,6.5,2026-02-06 10:49:06,2026-02-06 10:40:22
oceanbank,5.7,2026-02-06 10:49:06,2026-02-06 10:40:22
PGBank,7.2,2026-02-06 10:49:06,2026-02-06 10:40:22
PublicBank,6.2,2026-02-06 10:49:06,2026-02-06 10:40:22
PVcomBank,9.0,2026-02-06 10:49:06,2026-02-06 10:40:22
Saigonbank,6.3,2026-02-06 10:49:06,2026-02-06 10:40:22
SCB,3.7,2026-02-06 10:49:06,2026-02-06 10:40:22
SeABank,4.5,2026-02-06 10:49:06,2026-02-06 10:40:22
VCBNeo,5.3,2026-02-06 10:49:06,2026-02-06 10:40:22
VietCapitalBank,6.45,2026-02-06 10:49:06,2026-02-06 10:40:22
Vietcombank,4.6,2026-02-06 10:49:06,2026-02-06 10:40:22
VietinBank,5.2,2026-02-06 10:49:06,2026-02-06 10:40:22
VPBank,5.8,2026-02-06 10:49:06,2026-02-06 10:40:22
VRB,6.2,2026-02-06 10:49:06,2026-02-06 10:40:22
Agribank,4.7,2026-02-06 11:18:51,2026-02-06 11:10:23
Bắc Á,6.85,2026-02-06 11:18:51,2026-02-06 11:10:23
Bảo Việt,5.8,2026-02-06 11:18:51,2026-02-06 11:10:23
BIDV,5.2,2026-02-06 11:18:51,2026-02-06 11:10:23
GPBank,5.2,2026-02-06 11:18:51,2026-02-06 11:10:23
Hong Leong,4.6,2026-02-06 11:18:51,2026-02-06 11:10:23
Indovina,5.8,2026-02-06 11:18:51,2026-02-06 11:10:23
Kiên Long,5.5,2026-02-06 11:18:51,2026-02-06 11:10:23
MSB,5.3,2026-02-06 11:18:51,2026-02-06 11:10:23
MB,4.85,2026-02-06 11:18:51,2026-02-06 11:10:23
OCB,6.5,2026-02-06 11:18:51,2026-02-06 11:10:23
oceanbank,5.7,2026-02-06 11:18:51,2026-02-06 11:10:23
PGBank,7.2,2026-02-06 11:18:51,2026-02-06 11:10:23
PublicBank,6.2,2026-02-06 11:18:51,2026-02-06 11:10:23
PVcomBank,9.0,2026-02-06 11:18:51,2026-02-06 11:10:23
Saigonbank,6.3,2026-02-06 11:18:51,2026-02-06 11:10:23
SCB,3.7,2026-02-06 11:18:51,2026-02-06 11:10:23
SeABank,4.5,2026-02-06 11:18:51,2026-02-06 11:10:23
VCBNeo,5.3,2026-02-06 11:18:51,2026-02-06 11:10:23
VietCapitalBank,6.45,2026-02-06 11:18:51,2026-02-06 11:10:23
Vietcombank,4.6,2026-02-06 11:18:51,2026-02-06 11:10:23
VietinBank,5.2,2026-02-06 11:18:51,2026-02-06 11:10:23
VPBank,5.8,2026-02-06 11:18:51,2026-02-06 11:10:23
VRB,6.2,2026-02-06 11:18:51,2026-02-06 11:10:23
Agribank,4.7,2026-02-06 12:33:20,2026-02-06 12:30:23
Bắc Á,6.85,2026-02-06 12:33:20,2026-02-06 12:30:23
Bảo Việt,5.8,2026-02-06 12:33:20,2026-02-06 12:30:23
BIDV,5.2,2026-02-06 12:33:20,2026-02-06 12:30:23
GPBank,5.2,2026-02-06 12:33:20,2026-02-06 12:30:23
Hong Leong,4.6,2026-02-06 12:33:20,2026-02-06 12:30:23
Indovina,5.8,2026-02-06 12:33:20,2026-02-06 12:30:23
Kiên Long,5.5,2026-02-06 12:33:20,2026-02-06 12:30:23
MSB,5.3,2026-02-06 12:33:20,2026-02-06 12:30:23
MB,4.85,2026-02-06 12:33:20,2026-02-06 12:30:23
OCB,6.5,2026-02-06 12:33:20,2026-02-06 12:30:23
oceanbank,5.7,2026-02-06 12:33:20,2026-02-06 12:30:23
PGBank,7.2,2026-02-06 12:33:20,2026-02-06 12:30:23
PublicBank,6.2,2026-02-06 12:33:20,2026-02-06 12:30:23
PVcomBank,9.0,2026-02-06 12:33:20,2026-02-06 12:30:23
Saigonbank,6.3,2026-02-06 12:33:20,2026-02-06 12:30:23
SCB,3.7,2026-02-06 12:33:20,2026-02-06 12:30:23
SeABank,4.5,2026-02-06 12:33:20,2026-02-06 12:30:23
VCBNeo,5.3,2026-02-06 12:33:20,2026-02-06 12:30:23
VietCapitalBank,6.45,2026-02-06 12:33:20,2026-02-06 12:30:23
Vietcombank,4.6,2026-02-06 12:33:20,2026-02-06 12:30:23
VietinBank,5.2,2026-02-06 12:33:20,2026-02-06 12:30:23
VPBank,5.8,2026-02-06 12:33:20,2026-02-06 12:30:23
VRB,6.2,2026-02-06 12:33:20,2026-02-06 12:30:23
Agribank,4.7,2026-02-06 13:08:53,2026-02-06 13:00:23
Bắc Á,6.85,2026-02-06 13:08:53,2026-02-06 13:00:23
Bảo Việt,5.8,2026-02-06 13:08:53,2026-02-06 13:00:23
BIDV,5.2,2026-02-06 13:08:53,2026-02-06 13:00:23
GPBank,5.2,2026-02-06 13:08:53,2026-02-06 13:00:23
Hong Leong,4.6,2026-02-06 13:08:53,2026-02-06 13:00:23
Indovina,5.8,2026-02-06 13:08:53,2026-02-06 13:00:23
Kiên Long,5.5,2026-02-06 13:08:53,2026-02-06 13:00:23
MSB,5.3,2026-02-06 13:08:53,2026-02-06 13:00:23
MB,4.85,2026-02-06 13:08:53,2026-02-06 13:00:23
OCB,6.5,2026-02-06 13:08:53,2026-02-06 13:00:23
oceanbank,5.7,2026-02-06 13:08:53,2026-02-06 13:00:23
PGBank,7.2,2026-02-06 13:08:53,2026-02-06 13:00:23
PublicBank,6.2,2026-02-06 13:08:53,2026-02-06 13:00:23
PVcomBank,9.0,2026-02-06 13:08:53,2026-02-06 13:00:23
Saigonbank,6.3,2026-02-06 13:08:53,2026-02-06 13:00:23
SCB,3.7,2026-02-06 13:08:53,2026-02-06 13:00:23
SeABank,4.5,2026-02-06 13:08:53,2026-02-06 13:00:23
VCBNeo,5.3,2026-02-06 13:08:53,2026-02-06 13:00:23
VietCapitalBank,6.45,2026-02-06 13:08:53,2026-02-06 13:00:23
Vietcombank,4.6,2026-02-06 13:08:53,2026-02-06 13:00:23
VietinBank,5.2,2026-02-06 13:08:53,2026-02-06 13:00:23
VPBank,5.8,2026-02-06 13:08:53,2026-02-06 13:00:23
VRB,6.2,2026-02-06 13:08:53,2026-02-06 13:00:23
Agribank,4.7,2026-02-06 14:16:36,2026-02-06 14:10:23
Bắc Á,6.85,2026-02-06 14:16:36,2026-02-06 14:10:23
Bảo Việt,5.8,2026-02-06 14:16:36,2026-02-06 14:10:23
BIDV,5.2,2026-02-06 14:16:36,2026-02-06 14:10:23
GPBank,5.2,2026-02-06 14:16:36,2026-02-06 14:10:23
Hong Leong,4.6,2026-02-06 14:16:36,2026-02-06 14:10:23
Indovina,5.8,2026-02-06 14:16:36,2026-02-06 14:10:23
Kiên Long,5.5,2026-02-06 14:16:36,2026-02-06 14:10:23
MSB,5.3,2026-02-06 14:16:36,2026-02-06 14:10:23
MB,4.85,2026-02-06 14:16:36,2026-02-06 14:10:23
OCB,6.5,2026-02-06 14:16:36,2026-02-06 14:10:23
oceanbank,5.7,2026-02-06 14:16:36,2026-02-06 14:10:23
PGBank,7.2,2026-02-06 14:16:36,2026-02-06 14:10:23
PublicBank,6.2,2026-02-06 14:16:36,2026-02-06 14:10:23
PVcomBank,9.0,2026-02-06 14:16:36,2026-02-06 14:10:23
Saigonbank,6.3,2026-02-06 14:16:36,2026-02-06 14:10:23
SCB,3.7,2026-02-06 14:16:36,2026-02-06 14:10:23
SeABank,4.5,2026-02-06 14:16:36,2026-02-06 14:10:23
VCBNeo,5.3,2026-02-06 14:16:36,2026-02-06 14:10:23
VietCapitalBank,6.45,2026-02-06 14:16:36,2026-02-06 14:10:23
Vietcombank,4.6,2026-02-06 14:16:36,2026-02-06 14:10:23
VietinBank,5.2,2026-02-06 14:16:36,2026-02-06 14:10:23
VPBank,5.8,2026-02-06 14:16:36,2026-02-06 14:10:23
VRB,6.2,2026-02-06 14:16:36,2026-02-06 14:10:23
Agribank,4.7,2026-02-06 15:00:44,2026-02-06 15:00:23
Bắc Á,6.85,2026-02-06 15:00:44,2026-02-06 15:00:23
Bảo Việt,5.8,2026-02-06 15:00:44,2026-02-06 15:00:23
BIDV,5.2,2026-02-06 15:00:44,2026-02-06 15:00:23
GPBank,5.2,2026-02-06 15:00:44,2026-02-06 15:00:23
Hong Leong,4.6,2026-02-06 15:00:44,2026-02-06 15:00:23
Indovina,5.8,2026-02-06 15:00:44,2026-02-06 15:00:23
Kiên Long,5.5,2026-02-06 15:00:44,2026-02-06 15:00:23
MSB,5.3,2026-02-06 15:00:44,2026-02-06 15:00:23
MB,4.85,2026-02-06 15:00:44,2026-02-06 15:00:23
OCB,6.5,2026-02-06 15:00:44,2026-02-06 15:00:23
oceanbank,5.7,2026-02-06 15:00:44,2026-02-06 15:00:23
PGBank,7.2,2026-02-06 15:00:44,2026-02-06 15:00:23
PublicBank,6.2,2026-02-06 15:00:44,2026-02-06 15:00:23
PVcomBank,9.0,2026-02-06 15:00:44,2026-02-06 15:00:23
Saigonbank,6.3,2026-02-06 15:00:44,2026-02-06 15:00:23
SCB,3.7,2026-02-06 15:00:44,2026-02-06 15:00:23
SeABank,4.5,2026-02-06 15:00:44,2026-02-06 15:00:23
VCBNeo,5.3,2026-02-06 15:00:44,2026-02-06 15:00:23
VietCapitalBank,6.45,2026-02-06 15:00:44,2026-02-06 15:00:23
Vietcombank,4.6,2026-02-06 15:00:44,2026-02-06 15:00:23
VietinBank,5.2,2026-02-06 15:00:44,2026-02-06 15:00:23
VPBank,5.8,2026-02-06 15:00:44,2026-02-06 15:00:23
VRB,6.2,2026-02-06 15:00:44,2026-02-06 15:00:23
Agribank,4.7,2026-02-06 15:43:32,2026-02-06 15:40:23
Bắc Á,6.85,2026-02-06 15:43:32,2026-02-06 15:40:23
Bảo Việt,5.8,2026-02-06 15:43:32,2026-02-06 15:40:23
BIDV,5.2,2026-02-06 15:43:32,2026-02-06 15:40:23
GPBank,5.2,2026-02-06 15:43:32,2026-02-06 15:40:23
Hong Leong,4.6,2026-02-06 15:43:32,2026-02-06 15:40:23
Indovina,5.8,2026-02-06 15:43:32,2026-02-06 15:40:23
Kiên Long,5.5,2026-02-06 15:43:32,2026-02-06 15:40:23
MSB,5.3,2026-02-06 15:43:32,2026-02-06 15:40:23
MB,4.85,2026-02-06 15:43:32,2026-02-06 15:40:23
OCB,6.5,2026-02-06 15:43:32,2026-02-06 15:40:23
oceanbank,5.7,2026-02-06 15:43:32,2026-02-06 15:40:23
PGBank,7.2,2026-02-06 15:43:32,2026-02-06 15:40:23
PublicBank,6.2,2026-02-06 15:43:32,2026-02-06 15:40:23
PVcomBank,9.0,2026-02-06 15:43:32,2026-02-06 15:40:23
Saigonbank,6.3,2026-02-06 15:43:32,2026-02-06 15:40:23
SCB,3.7,2026-02-06 15:43:32,2026-02-06 15:40:23
SeABank,4.5,2026-02-06 15:43:32,2026-02-06 15:40:23
VCBNeo,5.3,2026-02-06 15:43:32,2026-02-06 15:40:23
VietCapitalBank,6.45,2026-02-06 15:43:32,2026-02-06 15:40:23
Vietcombank,4.6,2026-02-06 15:43:32,2026-02-06 15:40:23
VietinBank,5.2,2026-02-06 15:43:32,2026-02-06 15:40:23
VPBank,5.8,2026-02-06 15:43:32,2026-02-06 15:40:23
VRB,6.2,2026-02-06 15:43:32,2026-02-06 15:40:23
Agribank,4.7,2026-02-06 16:32:32,2026-02-06 16:30:23
Bắc Á,6.85,2026-02-06 16:32:32,2026-02-06 16:30:23
Bảo Việt,5.8,2026-02-06 16:32:32,2026-02-06 16:30:23
BIDV,5.2,2026-02-06 16:32:32,2026-02-06 16:30:23
GPBank,5.2,2026-02-06 16:32:32,2026-02-06 16:30:23
Hong Leong,4.6,2026-02-06 16:32:32,2026-02-06 16:30:23
Indovina,5.8,2026-02-06 16:32:32,2026-02-06 16:30:23
Kiên Long,5.5,2026-02-06 16:32:32,2026-02-06 16:30:23
MSB,5.3,2026-02-06 16:32:32,2026-02-06 16:30:23
MB,4.85,2026-02-06 16:32:32,2026-02-06 16:30:23
OCB,6.5,2026-02-06 16:32:32,2026-02-06 16:30:23
oceanbank,5.7,2026-02-06 16:32:32,2026-02-06 16:30:23
PGBank,7.2,2026-02-06 16:32:32,2026-02-06 16:30:23
PublicBank,6.2,2026-02-06 16:32:32,2026-02-06 16:30:23
PVcomBank,9.0,2026-02-06 16:32:32,2026-02-06 16:30:23
Saigonbank,6.3,2026-02-06 16:32:32,2026-02-06 16:30:23
SCB,3.7,2026-02-06 16:32:32,2026-02-06 16:30:23
SeABank,4.5,2026-02-06 16:32:32,2026-02-06 16:30:23
VCBNeo,5.3,2026-02-06 16:32:32,2026-02-06 16:30:23
VietCapitalBank,6.45,2026-02-06 16:32:32,2026-02-06 16:30:23
Vietcombank,4.6,2026-02-06 16:32:32,2026-02-06 16:30:23
VietinBank,5.2,2026-02-06 16:32:32,2026-02-06 16:30:23
VPBank,5.8,2026-02-06 16:32:32,2026-02-06 16:30:23
VRB,6.2,2026-02-06 16:32:32,2026-02-06 16:30:23
Agribank,4.7,2026-02-06 17:28:14,2026-02-06 17:20:23
Bắc Á,6.85,2026-02-06 17:28:14,2026-02-06 17:20:23
Bảo Việt,5.8,2026-02-06 17:28:14,2026-02-06 17:20:23
BIDV,5.2,2026-02-06 17:28:14,2026-02-06 17:20:23
GPBank,5.2,2026-02-06 17:28:14,2026-02-06 17:20:23
Hong Leong,4.6,2026-02-06 17:28:14,2026-02-06 17:20:23
Indovina,5.8,2026-02-06 17:28:14,2026-02-06 17:20:23
Kiên Long,5.5,2026-02-06 17:28:14,2026-02-06 17:20:23
MSB,5.3,2026-02-06 17:28:14,2026-02-06 17:20:23
MB,4.85,2026-02-06 17:28:14,2026-02-06 17:20:23
OCB,6.5,2026-02-06 17:28:14,2026-02-06 17:20:23
oceanbank,5.7,2026-02-06 17:28:14,2026-02-06 17:20:23
PGBank,7.2,2026-02-06 17:28:14,2026-02-06 17:20:23
PublicBank,6.2,2026-02-06 17:28:14,2026-02-06 17:20:23
PVcomBank,9.0,2026-02-06 17:28:14,2026-02-06 17:20:23
Saigonbank,6.3,2026-02-06 17:28:14,2026-02-06 17:20:23
SCB,3.7,2026-02-06 17:28:14,2026-02-06 17:20:23
SeABank,4.5,2026-02-06 17:28:14,2026-02-06 17:20:23
VCBNeo,5.3,2026-02-06 17:28:14,2026-02-06 17:20:23
VietCapitalBank,6.45,2026-02-06 17:28:14,2026-02-06 17:20:23
Vietcombank,4.6,2026-02-06 17:28:14,2026-02-06 17:20:23
VietinBank,5.2,2026-02-06 17:28:14,2026-02-06 17:20:23
VPBank,5.8,2026-02-06 17:28:14,2026-02-06 17:20:23
VRB,6.2,2026-02-06 17:28:14,2026-02-06 17:20:23
Agribank,4.7,2026-02-06 18:07:06,2026-02-06 18:00:23
Bắc Á,6.85,2026-02-06 18:07:06,2026-02-06 18:00:23
Bảo Việt,5.8,2026-02-06 18:07:06,2026-02-06 18:00:23
BIDV,5.2,2026-02-06 18:07:06,2026-02-06 18:00:23
GPBank,5.2,2026-02-06 18:07:06,2026-02-06 18:00:23
Hong Leong,4.6,2026-02-06 18:07:06,2026-02-06 18:00:23
Indovina,5.8,2026-02-06 18:07:06,2026-02-06 18:00:23
Kiên Long,5.5,2026-02-06 18:07:06,2026-02-06 18:00:23
MSB,5.3,2026-02-06 18:07:06,2026-02-06 18:00:23
MB,4.85,2026-02-06 18:07:06,2026-02-06 18:00:23
OCB,6.5,2026-02-06 18:07:06,2026-02-06 18:00:23
oceanbank,5.7,2026-02-06 18:07:06,2026-02-06 18:00:23
PGBank,7.2,2026-02-06 18:07:06,2026-02-06 18:00:23
PublicBank,6.2,2026-02-06 18:07:06,2026-02-06 18:00:23
PVcomBank,9.0,2026-02-06 18:07:06,2026-02-06 18:00:23
Saigonbank,6.3,2026-02-06 18:07:06,2026-02-06 18:00:23
SCB,3.7,2026-02-06 18:07:06,2026-02-06 18:00:23
SeABank,4.5,2026-02-06 18:07:06,2026-02-06 18:00:23
VCBNeo,5.3,2026-02-06 18:07:06,2026-02-06 18:00:23
VietCapitalBank,6.45,2026-02-06 18:07:06,2026-02-06 18:00:23
Vietcombank,4.6,2026-02-06 18:07:06,2026-02-06 18:00:23
VietinBank,5.2,2026-02-06 18:07:06,2026-02-06 18:00:23
VPBank,5.8,2026-02-06 18:07:06,2026-02-06 18:00:23
VRB,6.2,2026-02-06 18:07:06,2026-02-06 18:00:23
Agribank,4.7,2026-02-06 18:51:54,2026-02-06 18:50:23
Bắc Á,6.85,2026-02-06 18:51:54,2026-02-06 18:50:23
Bảo Việt,5.8,2026-02-06 18:51:54,2026-02-06 18:50:23
BIDV,5.2,2026-02-06 18:51:54,2026-02-06 18:50:23
GPBank,5.2,2026-02-06 18:51:54,2026-02-06 18:50:23
Hong Leong,4.6,2026-02-06 18:51:54,2026-02-06 18:50:23
Indovina,5.8,2026-02-06 18:51:54,2026-02-06 18:50:23
Kiên Long,5.5,2026-02-06 18:51:54,2026-02-06 18:50:23
MSB,5.3,2026-02-06 18:51:54,2026-02-06 18:50:23
MB,4.85,2026-02-06 18:51:54,2026-02-06 18:50:23
OCB,6.5,2026-02-06 18:51:54,2026-02-06 18:50:23
oceanbank,5.7,2026-02-06 18:51:54,2026-02-06 18:50:23
PGBank,7.2,2026-02-06 18:51:54,2026-02-06 18:50:23
PublicBank,6.2,2026-02-06 18:51:54,2026-02-06 18:50:23
PVcomBank,9.0,2026-02-06 18:51:54,2026-02-06 18:50:23
Saigonbank,6.3,2026-02-06 18:51:54,2026-02-06 18:50:23
SCB,3.7,2026-02-06 18:51:54,2026-02-06 18:50:23
SeABank,4.5,2026-02-06 18:51:54,2026-02-06 18:50:23
VCBNeo,5.3,2026-02-06 18:51:54,2026-02-06 18:50:23
VietCapitalBank,6.45,2026-02-06 18:51:54,2026-02-06 18:50:23
Vietcombank,4.6,2026-02-06 18:51:54,2026-02-06 18:50:23
VietinBank,5.2,2026-02-06 18:51:54,2026-02-06 18:50:23
VPBank,5.8,2026-02-06 18:51:54,2026-02-06 18:50:23
VRB,6.2,2026-02-06 18:51:54,2026-02-06 18:50:23
Agribank,4.7,2026-02-06 19:30:31,2026-02-06 18:50:23
Bắc Á,6.85,2026-02-06 19:30:31,2026-02-06 18:50:23
Bảo Việt,5.8,2026-02-06 19:30:31,2026-02-06 18:50:23
BIDV,5.2,2026-02-06 19:30:31,2026-02-06 18:50:23
GPBank,5.2,2026-02-06 19:30:31,2026-02-06 18:50:23
Hong Leong,4.6,2026-02-06 19:30:31,2026-02-06 18:50:23
Indovina,5.8,2026-02-06 19:30:31,2026-02-06 18:50:23
Kiên Long,5.5,2026-02-06 19:30:31,2026-02-06 18:50:23
MSB,5.3,2026-02-06 19:30:31,2026-02-06 18:50:23
MB,4.85,2026-02-06 19:30:31,2026-02-06 18:50:23
OCB,6.5,2026-02-06 19:30:31,2026-02-06 18:50:23
oceanbank,5.7,2026-02-06 19:30:31,2026-02-06 18:50:23
PGBank,7.2,2026-02-06 19:30:31,2026-02-06 18:50:23
PublicBank,6.2,2026-02-06 19:30:31,2026-02-06 18:50:23
PVcomBank,9.0,2026-02-06 19:30:31,2026-02-06 18:50:23
Saigonbank,6.3,2026-02-06 19:30:31,2026-02-06 18:50:23
SCB,3.7,2026-02-06 19:30:31,2026-02-06 18:50:23
SeABank,4.5,2026-02-06 19:30:31,2026-02-06 18:50:23
VCBNeo,5.3,2026-02-06 19:30:31,2026-02-06 18:50:23
VietCapitalBank,6.45,2026-02-06 19:30:31,2026-02-06 18:50:23
Vietcombank,4.6,2026-02-06 19:30:31,2026-02-06 18:50:23
VietinBank,5.2,2026-02-06 19:30:31,2026-02-06 18:50:23
VPBank,5.8,2026-02-06 19:30:31,2026-02-06 18:50:23
VRB,6.2,2026-02-06 19:30:31,2026-02-06 18:50:23
Agribank,4.7,2026-02-06 20:41:52,2026-02-06 18:50:23
Bắc Á,6.85,2026-02-06 20:41:52,2026-02-06 18:50:23
Bảo Việt,5.8,2026-02-06 20:41:52,2026-02-06 18:50:23
BIDV,5.2,2026-02-06 20:41:52,2026-02-06 18:50:23
GPBank,5.2,2026-02-06 20:41:52,2026-02-06 18:50:23
Hong Leong,4.6,2026-02-06 20:41:52,2026-02-06 18:50:23
Indovina,5.8,2026-02-06 20:41:52,2026-02-06 18:50:23
Kiên Long,5.5,2026-02-06 20:41:52,2026-02-06 18:50:23
MSB,5.3,2026-02-06 20:41:52,2026-02-06 18:50:23
MB,4.85,2026-02-06 20:41:52,2026-02-06 18:50:23
OCB,6.5,2026-02-06 20:41:52,2026-02-06 18:50:23
oceanbank,5.7,2026-02-06 20:41:52,2026-02-06 18:50:23
PGBank,7.2,2026-02-06 20:41:52,2026-02-06 18:50:23
PublicBank,6.2,2026-02-06 20:41:52,2026-02-06 18:50:23
PVcomBank,9.0,2026-02-06 20:41:52,2026-02-06 18:50:23
Saigonbank,6.3,2026-02-06 20:41:52,2026-02-06 18:50:23
SCB,3.7,2026-02-06 20:41:52,2026-02-06 18:50:23
SeABank,4.5,2026-02-06 20:41:52,2026-02-06 18:50:23
VCBNeo,5.3,2026-02-06 20:41:52,2026-02-06 18:50:23
VietCapitalBank,6.45,2026-02-06 20:41:52,2026-02-06 18:50:23
Vietcombank,4.6,2026-02-06 20:41:52,2026-02-06 18:50:23
VietinBank,5.2,2026-02-06 20:41:52,2026-02-06 18:50:23
VPBank,5.8,2026-02-06 20:41:52,2026-02-06 18:50:23
VRB,6.2,2026-02-06 20:41:52,2026-02-06 18:50:23
Agribank,4.7,2026-02-06 21:33:28,2026-02-06 18:50:23
Bắc Á,6.85,2026-02-06 21:33:28,2026-02-06 18:50:23
Bảo Việt,5.8,2026-02-06 21:33:28,2026-02-06 18:50:23
BIDV,5.2,2026-02-06 21:33:28,2026-02-06 18:50:23
GPBank,5.2,2026-02-06 21:33:28,2026-02-06 18:50:23
Hong Leong,4.6,2026-02-06 21:33:28,2026-02-06 18:50:23
Indovina,5.8,2026-02-06 21:33:28,2026-02-06 18:50:23
Kiên Long,5.5,2026-02-06 21:33:28,2026-02-06 18:50:23
MSB,5.3,2026-02-06 21:33:28,2026-02-06 18:50:23
MB,4.85,2026-02-06 21:33:28,2026-02-06 18:50:23
OCB,6.5,2026-02-06 21:33:28,2026-02-06 18:50:23
oceanbank,5.7,2026-02-06 21:33:28,2026-02-06 18:50:23
PGBank,7.2,2026-02-06 21:33:28,2026-02-06 18:50:23
PublicBank,6.2,2026-02-06 21:33:28,2026-02-06 18:50:23
PVcomBank,9.0,2026-02-06 21:33:28,2026-02-06 18:50:23
Saigonbank,6.3,2026-02-06 21:33:28,2026-02-06 18:50:23
SCB,3.7,2026-02-06 21:33:28,2026-02-06 18:50:23
SeABank,4.5,2026-02-06 21:33:28,2026-02-06 18:50:23
VCBNeo,5.3,2026-02-06 21:33:28,2026-02-06 18:50:23
VietCapitalBank,6.45,2026-02-06 21:33:28,2026-02-06 18:50:23
Vietcombank,4.6,2026-02-06 21:33:28,2026-02-06 18:50:23
VietinBank,5.2,2026-02-06 21:33:28,2026-02-06 18:50:23
VPBank,5.8,2026-02-06 21:33:28,2026-02-06 18:50:23
VRB,6.2,2026-02-06 21:33:28,2026-02-06 18:50:23
Agribank,4.7,2026-02-06 22:29:25,2026-02-06 18:50:23
Bắc Á,6.85,2026-02-06 22:29:25,2026-02-06 18:50:23
Bảo Việt,5.8,2026-02-06 22:29:25,2026-02-06 18:50:23
BIDV,5.2,2026-02-06 22:29:25,2026-02-06 18:50:23
GPBank,5.2,2026-02-06 22:29:25,2026-02-06 18:50:23
Hong Leong,4.6,2026-02-06 22:29:25,2026-02-06 18:50:23
Indovina,5.8,2026-02-06 22:29:25,2026-02-06 18:50:23
Kiên Long,5.5,2026-02-06 22:29:25,2026-02-06 18:50:23
MSB,5.3,2026-02-06 22:29:25,2026-02-06 18:50:23
MB,4.85,2026-02-06 22:29:25,2026-02-06 18:50:23
OCB,6.5,2026-02-06 22:29:25,2026-02-06 18:50:23
oceanbank,5.7,2026-02-06 22:29:25,2026-02-06 18:50:23
PGBank,7.2,2026-02-06 22:29:25,2026-02-06 18:50:23
