ngan_hang,rate12,updated_at_vn,updated_at_webgia
MB,4.85,2026-02-07 10:21:11,2026-02-07 10:20:23
OCB,6.5,2026-02-07 10:21:11,2026-02-07 10:20:23
oceanbank,5.7,2026-02-07 10:21:11,2026-02-07 10:20:23
PGBank,7.2,2026-02-07 10:21:11,2026-02-07 10:20:23
PublicBank,6.2,2026-02-07 10:21:11,2026-02-07 10:20:23
PVcomBank,9.0,2026-02-07 10:21:11,2026-02-07 10:20:23
Saigonbank,6.3,2026-02-07 10:21:11,2026-02-07 10:20:23
SCB,3.7,2026-02-07 10:21:11,2026-02-07 10:20:23
SeABank,4.5,2026-02-07 10:21:11,2026-02-07 10:20:23
VCBNeo,5.3,2026-02-07 10:21:11,2026-02-07 10:20:23
VietCapitalBank,6.45,2026-02-07 10:21:11,2026-02-07 10:20:23
Vietcombank,4.6,2026-02-07 10:21:11,2026-02-07 10:20:23
VietinBank,5.2,2026-02-07 10:21:11,2026-02-07 10:20:23
VPBank,5.8,2026-02-07 10:21:11,2026-02-07 10:20:23
VRB,6.2,2026-02-07 10:21:11,2026-02-07 10:20:23
Agribank,4.7,2026-02-07 11:50:29,2026-02-07 11:50:23
Bắc Á,6.85,2026-02-07 11:50:29,2026-02-07 11:50:23
Bảo Việt,5.8,2026-02-07 11:50:29,2026-02-07 11:50:23
BIDV,5.2,2026-02-07 11:50:29,2026-02-07 11:50:23
GPBank,5.2,2026-02-07 11:50:29,2026-02-07 11:50:23
Hong Leong,4.6,2026-02-07 11:50:29,2026-02-07 11:50:23
Indovina,5.8,2026-02-07 11:50:29,2026-02-07 11:50:23
Kiên Long,5.5,2026-02-07 11:50:29,2026-02-07 11:50:23
MSB,5.3,2026-02-07 11:50:29,2026-02-07 11:50:23
MB,4.85,2026-02-07 11:50:29,2026-02-07 11:50:23
OCB,6.5,2026-02-07 11:50:29,2026-02-07 11:50:23
oceanbank,5.7,2026-02-07 11:50:29,2026-02-07 11:50:23
PGBank,7.2,2026-02-07 11:50:29,2026-02-07 11:50:23
PublicBank,6.2,2026-02-07 11:50:29,2026-02-07 11:50:23
PVcomBank,9.0,2026-02-07 11:50:29,2026-02-07 11:50:23
Saigonbank,6.3,2026-02-07 11:50:29,2026-02-07 11:50:23
SCB,3.7,2026-02-07 11:50:29,2026-02-07 11:50:23
SeABank,4.5,2026-02-07 11:50:29,2026-02-07 11:50:23
VCBNeo,5.3,2026-02-07 11:50:29,2026-02-07 11:50:23
VietCapitalBank,6.45,2026-02-07 11:50:29,2026-02-07 11:50:23
Vietcombank,4.6,2026-02-07 11:50:29,2026-02-07 11:50:23
VietinBank,5.2,2026-02-07 11:50:29,2026-02-07 11:50:23
VPBank,5.8,2026-02-07 11:50:29,2026-02-07 11:50:23
VRB,6.2,2026-02-07 11:50:29,2026-02-07 11:50:23
Agribank,4.7,2026-02-07 12:34:06,2026-02-07 12:30:23
Bắc Á,6.85,2026-02-07 12:34:06,2026-02-07 12:30:23
Bảo Việt,5.8,2026-02-07 12:34:06,2026-02-07 12:30:23
BIDV,5.2,2026-02-07 12:34:06,2026-02-07 12:30:23
GPBank,5.2,2026-02-07 12:34:06,2026-02-07 12:30:23
Hong Leong,4.6,2026-02-07 12:34:06,2026-02-07 12:30:23
Indovina,5.8,2026-02-07 12:34:06,2026-02-07 12:30:23
Kiên Long,5.5,2026-02-07 12:34:06,2026-02-07 12:30:23
MSB,5.3,2026-02-07 12:34:06,2026-02-07 12:30:23
MB,4.85,2026-02-07 12:34:06,2026-02-07 12:30:23
OCB,6.5,2026-02-07 12:34:06,2026-02-07 12:30:23
oceanbank,5.7,2026-02-07 12:34:06,2026-02-07 12:30:23
PGBank,7.2,2026-02-07 12:34:06,2026-02-07 12:30:23
PublicBank,6.2,2026-02-07 12:34:06,2026-02-07 12:30:23
PVcomBank,9.0,2026-02-07 12:34:06,2026-02-07 12:30:23
Saigonbank,6.3,2026-02-07 12:34:06,2026-02-07 12:30:23
SCB,3.7,2026-02-07 12:34:06,2026-02-07 12:30:23
SeABank,4.5,2026-02-07 12:34:06,2026-02-07 12:30:23
VCBNeo,5.3,2026-02-07 12:34:06,2026-02-07 12:30:23
VietCapitalBank,6.45,2026-02-07 12:34:06,2026-02-07 12:30:23
Vietcombank,4.6,2026-02-07 12:34:06,2026-02-07 12:30:23
VietinBank,5.2,2026-02-07 12:34:06,2026-02-07 12:30:23
VPBank,5.8,2026-02-07 12:34:06,2026-02-07 12:30:23
VRB,6.2,2026-02-07 12:34:06,2026-02-07 12:30:23
Agribank,4.7,2026-02-07 13:27:25,2026-02-07 13:20:23
Bắc Á,6.85,2026-02-07 13:27:25,2026-02-07 13:20:23
Bảo Việt,5.8,2026-02-07 13:27:25,2026-02-07 13:20:23
BIDV,5.2,2026-02-07 13:27:25,2026-02-07 13:20:23
GPBank,5.2,2026-02-07 13:27:25,2026-02-07 13:20:23
Hong Leong,4.6,2026-02-07 13:27:25,2026-02-07 13:20:23
Indovina,5.8,2026-02-07 13:27:25,2026-02-07 13:20:23
Kiên Long,5.5,2026-02-07 13:27:25,2026-02-07 13:20:23
MSB,5.3,2026-02-07 13:27:25,2026-02-07 13:20:23
MB,4.85,2026-02-07 13:27:25,2026-02-07 13:20:23
OCB,6.5,2026-02-07 13:27:25,2026-02-07 13:20:23
oceanbank,5.7,2026-02-07 13:27:25,2026-02-07 13:20:23
PGBank,7.2,2026-02-07 13:27:25,2026-02-07 13:20:23
PublicBank,6.2,2026-02-07 13:27:25,2026-02-07 13:20:23
PVcomBank,9.0,2026-02-07 13:27:25,2026-02-07 13:20:23
Saigonbank,6.3,2026-02-07 13:27:25,2026-02-07 13:20:23
SCB,3.7,2026-02-07 13:27:25,2026-02-07 13:20:23
SeABank,4.5,2026-02-07 13:27:25,2026-02-07 13:20:23
VCBNeo,5.3,2026-02-07 13:27:25,2026-02-07 13:20:23
VietCapitalBank,6.45,2026-02-07 13:27:25,2026-02-07 13:20:23
Vietcombank,4.6,2026-02-07 13:27:25,2026-02-07 13:20:23
VietinBank,5.2,2026-02-07 13:27:25,2026-02-07 13:20:23
VPBank,5.8,2026-02-07 13:27:25,2026-02-07 13:20:23
VRB,6.2,2026-02-07 13:27:25,2026-02-07 13:20:23
Agribank,4.7,2026-02-07 14:06:31,2026-02-07 14:00:23
Bắc Á,6.85,2026-02-07 14:06:31,2026-02-07 14:00:23
Bảo Việt,5.8,2026-02-07 14:06:31,2026-02-07 14:00:23
BIDV,5.2,2026-02-07 14:06:31,2026-02-07 14:00:23
GPBank,5.2,2026-02-07 14:06:31,2026-02-07 14:00:23
Hong Leong,4.6,2026-02-07 14:06:31,2026-02-07 14:00:23
Indovina,5.8,2026-02-07 14:06:31,2026-02-07 14:00:23
Kiên Long,5.5,2026-02-07 14:06:31,2026-02-07 14:00:23
MSB,5.3,2026-02-07 14:06:31,2026-02-07 14:00:23
MB,4.85,2026-02-07 14:06:31,2026-02-07 14:00:23
OCB,6.5,2026-02-07 14:06:31,2026-02-07 14:00:23
oceanbank,5.7,2026-02-07 14:06:31,2026-02-07 14:00:23
PGBank,7.2,2026-02-07 14:06:31,2026-02-07 14:00:23
PublicBank,6.2,2026-02-07 14:06:31,2026-02-07 14:00:23
PVcomBank,9.0,2026-02-07 14:06:31,2026-02-07 14:00:23
Saigonbank,6.3,2026-02-07 14:06:31,2026-02-07 14:00:23
SCB,3.7,2026-02-07 14:06:31,2026-02-07 14:00:23
SeABank,4.5,2026-02-07 14:06:31,2026-02-07 14:00:23
VCBNeo,5.3,2026-02-07 14:06:31,2026-02-07 14:00:23
VietCapitalBank,6.45,2026-02-07 14:06:31,2026-02-07 14:00:23
Vietcombank,4.6,2026-02-07 14:06:31,2026-02-07 14:00:23
VietinBank,5.2,2026-02-07 14:06:31,2026-02-07 14:00:23
VPBank,5.8,2026-02-07 14:06:31,2026-02-07 14:00:23
VRB,6.2,2026-02-07 14:06:31,2026-02-07 14:00:23
Agribank,4.7,2026-02-07 14:49:21,2026-02-07 14:40:22
Bắc Á,6.85,2026-02-07 14:49:21,2026-02-07 14:40:22
Bảo Việt,5.8,2026-02-07 14:49:21,2026-02-07 14:40:22
BIDV,5.2,2026-02-07 14:49:21,2026-02-07 14:40:22
GPBank,5.2,2026-02-07 14:49:21,2026-02-07 14:40:22
Hong Leong,4.6,2026-02-07 14:49:21,2026-02-07 14:40:22
Indovina,5.8,2026-02-07 14:49:21,2026-02-07 14:40:22
Kiên Long,5.5,2026-02-07 14:49:21,2026-02-07 14:40:22
MSB,5.3,2026-02-07 14:49:21,2026-02-07 14:40:22
MB,4.85,2026-02-07 14:49:21,2026-02-07 14:40:22
OCB,6.5,2026-02-07 14:49:21,2026-02-07 14:40:22
oceanbank,5.7,2026-02-07 14:49:21,2026-02-07 14:40:22
PGBank,7.2,2026-02-07 14:49:21,2026-02-07 14:40:22
PublicBank,6.2,2026-02-07 14:49:21,2026-02-07 14:40:22
PVcomBank,9.0,2026-02-07 14:49:21,2026-02-07 14:40:22
Saigonbank,6.3,2026-02-07 14:49:21,2026-02-07 14:40:22
SCB,3.7,2026-02-07 14:49:21,2026-02-07 14:40:22
SeABank,4.5,2026-02-07 14:49:21,2026-02-07 14:40:22
VCBNeo,5.3,2026-02-07 14:49:21,2026-02-07 14:40:22
VietCapitalBank,6.45,2026-02-07 14:49:21,2026-02-07 14:40:22
Vietcombank,4.6,2026-02-07 14:49:21,2026-02-07 14:40:22
VietinBank,5.2,2026-02-07 14:49:21,2026-02-07 14:40:22
VPBank,5.8,2026-02-07 14:49:21,2026-02-07 14:40:22
VRB,6.2,2026-02-07 14:49:21,2026-02-07 14:40:22
Agribank,4.7,2026-02-07 15:16:35,2026-02-07 15:10:23
Bắc Á,6.85,2026-02-07 15:16:35,2026-02-07 15:10:23
Bảo Việt,5.8,2026-02-07 15:16:35,2026-02-07 15:10:23
BIDV,5.2,2026-02-07 15:16:35,2026-02-07 15:10:23
GPBank,5.2,2026-02-07 15:16:35,2026-02-07 15:10:23
Hong Leong,4.6,2026-02-07 15:16:35,2026-02-07 15:10:23
Indovina,5.8,2026-02-07 15:16:35,2026-02-07 15:10:23
Kiên Long,5.5,2026-02-07 15:16:35,2026-02-07 15:10:23
MSB,5.3,2026-02-07 15:16:35,2026-02-07 15:10:23
MB,4.85,2026-02-07 15:16:35,2026-02-07 15:10:23
OCB,6.5,2026-02-07 15:16:35,2026-02-07 15:10:23
oceanbank,5.7,2026-02-07 15:16:35,2026-02-07 15:10:23
PGBank,7.2,2026-02-07 15:16:35,2026-02-07 15:10:23
PublicBank,6.2,2026-02-07 15:16:35,2026-02-07 15:10:23
PVcomBank,9.0,2026-02-07 15:16:35,2026-02-07 15:10:23
Saigonbank,6.3,2026-02-07 15:16:35,2026-02-07 15:10:23
SCB,3.7,2026-02-07 15:16:35,2026-02-07 15:10:23
SeABank,4.5,2026-02-07 15:16:35,2026-02-07 15:10:23
VCBNeo,5.3,2026-02-07 15:16:35,2026-02-07 15:10:23
VietCapitalBank,6.45,2026-02-07 15:16:35,2026-02-07 15:10:23
Vietcombank,4.6,2026-02-07 15:16:35,2026-02-07 15:10:23
VietinBank,5.2,2026-02-07 15:16:35,2026-02-07 15:10:23
VPBank,5.8,2026-02-07 15:16:35,2026-02-07 15:10:23
VRB,6.2,2026-02-07 15:16:35,2026-02-07 15:10:23
Agribank,4.7,2026-02-07 15:53:23,2026-02-07 15:50:22
Bắc Á,6.85,2026-02-07 15:53:23,2026-02-07 15:50:22
Bảo Việt,5.8,2026-02-07 15:53:23,2026-02-07 15:50:22
BIDV,5.2,2026-02-07 15:53:23,2026-02-07 15:50:22
GPBank,5.2,2026-02-07 15:53:23,2026-02-07 15:50:22
Hong Leong,4.6,2026-02-07 15:53:23,2026-02-07 15:50:22
Indovina,5.8,2026-02-07 15:53:23,2026-02-07 15:50:22
Kiên Long,5.5,2026-02-07 15:53:23,2026-02-07 15:50:22
MSB,5.3,2026-02-07 15:53:23,2026-02-07 15:50:22
MB,4.85,2026-02-07 15:53:23,2026-02-07 15:50:22
OCB,6.5,2026-02-07 15:53:23,2026-02-07 15:50:22
oceanbank,5.7,2026-02-07 15:53:23,2026-02-07 15:50:22
PGBank,7.2,2026-02-07 15:53:23,2026-02-07 15:50:22
PublicBank,6.2,2026-02-07 15:53:23,2026-02-07 15:50:22
PVcomBank,9.0,2026-02-07 15:53:23,2026-02-07 15:50:22
Saigonbank,6.3,2026-02-07 15:53:23,2026-02-07 15:50:22
SCB,3.7,2026-02-07 15:53:23,2026-02-07 15:50:22
SeABank,4.5,2026-02-07 15:53:23,2026-02-07 15:50:22
VCBNeo,5.3,2026-02-07 15:53:23,2026-02-07 15:50:22
VietCapitalBank,6.45,2026-02-07 15:53:23,2026-02-07 15:50:22
Vietcombank,4.6,2026-02-07 15:53:23,2026-02-07 15:50:22
VietinBank,5.2,2026-02-07 15:53:23,2026-02-07 15:50:22
VPBank,5.8,2026-02-07 15:53:23,2026-02-07 15:50:22
VRB,6.2,2026-02-07 15:53:23,2026-02-07 15:50:22
Agribank,4.7,2026-02-07 16:19:17,2026-02-07 16:10:23
Bắc Á,6.85,2026-02-07 16:19:17,2026-02-07 16:10:23
Bảo Việt,5.8,2026-02-07 16:19:17,2026-02-07 16:10:23
BIDV,5.2,2026-02-07 16:19:17,2026-02-07 16:10:23
GPBank,5.2,2026-02-07 16:19:17,2026-02-07 16:10:23
Hong Leong,4.6,2026-02-07 16:19:17,2026-02-07 16:10:23
Indovina,5.8,2026-02-07 16:19:17,2026-02-07 16:10:23
Kiên Long,5.5,2026-02-07 16:19:17,2026-02-07 16:10:23
MSB,5.3,2026-02-07 16:19:17,2026-02-07 16:10:23
MB,4.85,2026-02-07 16:19:17,2026-02-07 16:10:23
OCB,6.5,2026-02-07 16:19:17,2026-02-07 16:10:23
oceanbank,5.7,2026-02-07 16:19:17,2026-02-07 16:10:23
PGBank,7.2,2026-02-07 16:19:17,2026-02-07 16:10:23
PublicBank,6.2,2026-02-07 16:19:17,2026-02-07 16:10:23
PVcomBank,9.0,2026-02-07 16:19:17,2026-02-07 16:10:23
Saigonbank,6.3,2026-02-07 16:19:17,2026-02-07 16:10:23
SCB,3.7,2026-02-07 16:19:17,2026-02-07 16:10:23
SeABank,4.5,2026-02-07 16:19:17,2026-02-07 16:10:23
VCBNeo,5.3,2026-02-07 16:19:17,2026-02-07 16:10:23
VietCapitalBank,6.45,2026-02-07 16:19:17,2026-02-07 16:10:23
Vietcombank,4.6,2026-02-07 16:19:17,2026-02-07 16:10:23
VietinBank,5.2,2026-02-07 16:19:17,2026-02-07 16:10:23
VPBank,5.8,2026-02-07 16:19:17,2026-02-07 16:10:23
VRB,6.2,2026-02-07 16:19:17,2026-02-07 16:10:23
Agribank,4.7,2026-02-07 16:51:18,2026-02-07 16:50:23
Bắc Á,6.85,2026-02-07 16:51:18,2026-02-07 16:50:23
Bảo Việt,5.8,2026-02-07 16:51:18,2026-02-07 16:50:23
BIDV,5.2,2026-02-07 16:51:18,2026-02-07 16:50:23
GPBank,5.2,2026-02-07 16:51:18,2026-02-07 16:50:23
Hong Leong,4.6,2026-02-07 16:51:18,2026-02-07 16:50:23
Indovina,5.8,2026-02-07 16:51:18,2026-02-07 16:50:23
Kiên Long,5.5,2026-02-07 16:51:18,2026-02-07 16:50:23
MSB,5.3,2026-02-07 16:51:18,2026-02-07 16:50:23
MB,4.85,2026-02-07 16:51:18,2026-02-07 16:50:23
OCB,6.5,2026-02-07 16:51:18,2026-02-07 16:50:23
oceanbank,5.7,2026-02-07 16:51:18,2026-02-07 16:50:23
PGBank,7.2,2026-02-07 16:51:18,2026-02-07 16:50:23
PublicBank,6.2,2026-02-07 16:51:18,2026-02-07 16:50:23
PVcomBank,9.0,2026-02-07 16:51:18,2026-02-07 16:50:23
Saigonbank,6.3,2026-02-07 16:51:18,2026-02-07 16:50:23
SCB,3.7,2026-02-07 16:51:18,2026-02-07 16:50:23
SeABank,4.5,2026-02-07 16:51:18,2026-02-07 16:50:23
VCBNeo,5.3,2026-02-07 16:51:18,2026-02-07 16:50:23
VietCapitalBank,6.45,2026-02-07 16:51:18,2026-02-07 16:50:23
Vietcombank,4.6,2026-02-07 16:51:18,2026-02-07 16:50:23
VietinBank,5.2,2026-02-07 16:51:18,2026-02-07 16:50:23
VPBank,5.8,2026-02-07 16:51:18,2026-02-07 16:50:23
VRB,6.2,2026-02-07 16:51:18,2026-02-07 16:50:23
Agribank,4.7,2026-02-07 17:13:33,2026-02-07 17:10:22
Bắc Á,6.85,2026-02-07 17:13:33,2026-02-07 17:10:22
Bảo Việt,5.8,2026-02-07 17:13:33,2026-02-07 17:10:22
BIDV,5.2,2026-02-07 17:13:33,2026-02-07 17:10:22
GPBank,5.2,2026-02-07 17:13:33,2026-02-07 17:10:22
Hong Leong,4.6,2026-02-07 17:13:33,2026-02-07 17:10:22
Indovina,5.8,2026-02-07 17:13:33,2026-02-07 17:10:22
Kiên Long,5.5,2026-02-07 17:13:33,2026-02-07 17:10:22
MSB,5.3,2026-02-07 17:13:33,2026-02-07 17:10:22
MB,4.85,2026-02-07 17:13:33,2026-02-07 17:10:22
OCB,6.5,2026-02-07 17:13:33,2026-02-07 17:10:22
oceanbank,5.7,2026-02-07 17:13:33,2026-02-07 17:10:22
PGBank,7.2,2026-02-07 17:13:33,2026-02-07 17:10:22
PublicBank,6.2,2026-02-07 17:13:33,2026-02-07 17:10:22
PVcomBank,9.0,2026-02-07 17:13:33,2026-02-07 17:10:22
Saigonbank,6.3,2026-02-07 17:13:33,2026-02-07 17:10:22
SCB,3.7,2026-02-07 17:13:33,2026-02-07 17:10:22
SeABank,4.5,2026-02-07 17:13:33,2026-02-07 17:10:22
VCBNeo,5.3,2026-02-07 17:13:33,2026-02-07 17:10:22
VietCapitalBank,6.45,2026-02-07 17:13:33,2026-02-07 17:10:22
Vietcombank,4.6,2026-02-07 17:13:33,2026-02-07 17:10:22
VietinBank,5.2,2026-02-07 17:13:33,2026-02-07 17:10:22
VPBank,5.8,2026-02-07 17:13:33,2026-02-07 17:10:22
VRB,6.2,2026-02-07 17:13:33,2026-02-07 17:10:22
Agribank,4.7,2026-02-07 17:49:58,2026-02-07 17:40:23
Bắc Á,6.85,2026-02-07 17:49:58,2026-02-07 17:40:23
Bảo Việt,5.8,2026-02-07 17:49:58,2026-02-07 17:40:23
BIDV,5.2,2026-02-07 17:49:58,2026-02-07 17:40:23
GPBank,5.2,2026-02-07 17:49:58,2026-02-07 17:40:23
Hong Leong,4.6,2026-02-07 17:49:58,2026-02-07 17:40:23
Indovina,5.8,2026-02-07 17:49:58,2026-02-07 17:40:23
Kiên Long,5.5,2026-02-07 17:49:58,2026-02-07 17:40:23
MSB,5.3,2026-02-07 17:49:58,2026-02-07 17:40:23
MB,4.85,2026-02-07 17:49:58,2026-02-07 17:40:23
OCB,6.5,2026-02-07 17:49:58,2026-02-07 17:40:23
oceanbank,5.7,2026-02-07 17:49:58,2026-02-07 17:40:23
PGBank,7.2,2026-02-07 17:49:58,2026-02-07 17:40:23
PublicBank,6.2,2026-02-07 17:49:58,2026-02-07 17:40:23
PVcomBank,9.0,2026-02-07 17:49:58,2026-02-07 17:40:23
Saigonbank,6.3,2026-02-07 17:49:58,2026-02-07 17:40:23
SCB,3.7,2026-02-07 17:49:58,2026-02-07 17:40:23
SeABank,4.5,2026-02-07 17:49:58,2026-02-07 17:40:23
VCBNeo,5.3,2026-02-07 17:49:58,2026-02-07 17:40:23
VietCapitalBank,6.45,2026-02-07 17:49:58,2026-02-07 17:40:23
Vietcombank,4.6,2026-02-07 17:49:58,2026-02-07 17:40:23
VietinBank,5.2,2026-02-07 17:49:58,2026-02-07 17:40:23
VPBank,5.8,2026-02-07 17:49:58,2026-02-07 17:40:23
VRB,6.2,2026-02-07 17:49:58,2026-02-07 17:40:23
Agribank,4.7,2026-02-07 18:12:47,2026-02-07 18:10:23
Bắc Á,6.85,2026-02-07 18:12:47,2026-02-07 18:10:23
Bảo Việt,5.8,2026-02-07 18:12:47,2026-02-07 18:10:23
BIDV,5.2,2026-02-07 18:12:47,2026-02-07 18:10:23
GPBank,5.2,2026-02-07 18:12:47,2026-02-07 18:10:23
Hong Leong,4.6,2026-02-07 18:12:47,2026-02-07 18:10:23
Indovina,5.8,2026-02-07 18:12:47,2026-02-07 18:10:23
Kiên Long,5.5,2026-02-07 18:12:47,2026-02-07 18:10:23
MSB,5.3,2026-02-07 18:12:47,2026-02-07 18:10:23
MB,4.85,2026-02-07 18:12:47,2026-02-07 18:10:23
OCB,6.5,2026-02-07 18:12:47,2026-02-07 18:10:23
oceanbank,5.7,2026-02-07 18:12:47,2026-02-07 18:10:23
PGBank,7.2,2026-02-07 18:12:47,2026-02-07 18:10:23
PublicBank,6.2,2026-02-07 18:12:47,2026-02-07 18:10:23
PVcomBank,9.0,2026-02-07 18:12:47,2026-02-07 18:10:23
Saigonbank,6.3,2026-02-07 18:12:47,2026-02-07 18:10:23
SCB,3.7,2026-02-07 18:12:47,2026-02-07 18:10:23
SeABank,4.5,2026-02-07 18:12:47,2026-02-07 18:10:23
VCBNeo,5.3,2026-02-07 18:12:47,2026-02-07 18:10:23
VietCapitalBank,6.45,2026-02-07 18:12:47,2026-02-07 18:10:23
Vietcombank,4.6,2026-02-07 18:12:47,2026-02-07 18:10:23
VietinBank,5.2,2026-02-07 18:12:47,2026-02-07 18:10:23
VPBank,5.8,2026-02-07 18:12:47,2026-02-07 18:10:23
VRB,6.2,2026-02-07 18:12:47,2026-02-07 18:10:23
Agribank,4.7,2026-02-07 18:41:53,2026-02-07 18:40:23
Bắc Á,6.85,2026-02-07 18:41:53,2026-02-07 18:40:23
Bảo Việt,5.8,2026-02-07 18:41:53,2026-02-07 18:40:23
BIDV,5.2,2026-02-07 18:41:53,2026-02-07 18:40:23
GPBank,5.2,2026-02-07 18:41:53,2026-02-07 18:40:23
Hong Leong,4.6,2026-02-07 18:41:53,2026-02-07 18:40:23
Indovina,5.8,2026-02-07 18:41:53,2026-02-07 18:40:23
Kiên Long,5.5,2026-02-07 18:41:53,2026-02-07 18:40:23
MSB,5.3,2026-02-07 18:41:53,2026-02-07 18:40:23
MB,4.85,2026-02-07 18:41:53,2026-02-07 18:40:23
OCB,6.5,2026-02-07 18:41:53,2026-02-07 18:40:23
oceanbank,5.7,2026-02-07 18:41:53,2026-02-07 18:40:23
PGBank,7.2,2026-02-07 18:41:53,2026-02-07 18:40:23
PublicBank,6.2,2026-02-07 18:41:53,2026-02-07 18:40:23
PVcomBank,9.0,2026-02-07 18:41:53,2026-02-07 18:40:23
Saigonbank,6.3,2026-02-07 18:41:53,2026-02-07 18:40:23
SCB,3.7,2026-02-07 18:41:53,2026-02-07 18:40:23
SeABank,4.5,2026-02-07 18:41:53,2026-02-07 18:40:23
VCBNeo,5.3,2026-02-07 18:41:53,2026-02-07 18:40:23
VietCapitalBank,6.45,2026-02-07 18:41:53,2026-02-07 18:40:23
Vietcombank,4.6,2026-02-07 18:41:53,2026-02-07 18:40:23
VietinBank,5.2,2026-02-07 18:41:53,2026-02-07 18:40:23
VPBank,5.8,2026-02-07 18:41:53,2026-02-07 18:40:23
VRB,6.2,2026-02-07 18:41:53,2026-02-07 18:40:23
Agribank,4.7,2026-02-07 19:21:35,2026-02-07 18:50:23
Bắc Á,6.85,2026-02-07 19:21:35,2026-02-07 18:50:23
Bảo Việt,5.8,2026-02-07 19:21:35,2026-02-07 18:50:23
BIDV,5.2,2026-02-07 19:21:35,2026-02-07 18:50:23
GPBank,5.2,2026-02-07 19:21:35,2026-02-07 18:50:23
Hong Leong,4.6,2026-02-07 19:21:35,2026-02-07 18:50:23
Indovina,5.8,2026-02-07 19:21:35,2026-02-07 18:50:23
Kiên Long,5.5,2026-02-07 19:21:35,2026-02-07 18:50:23
MSB,5.3,2026-02-07 19:21:35,2026-02-07 18:50:23
MB,4.85,2026-02-07 19:21:35,2026-02-07 18:50:23
OCB,6.5,2026-02-07 19:21:35,2026-02-07 18:50:23
oceanbank,5.7,2026-02-07 19:21:35,2026-02-07 18:50:23
PGBank,7.2,2026-02-07 19:21:35,2026-02-07 18:50:23
PublicBank,6.2,2026-02-07 19:21:35,2026-02-07 18:50:23
PVcomBank,9.0,2026-02-07 19:21:35,2026-02-07 18:50:23
Saigonbank,6.3,2026-02-07 19:21:35,2026-02-07 18:50:23
SCB,3.7,2026-02-07 19:21:35,2026-02-07 18:50:23
SeABank,4.5,2026-02-07 19:21:35,2026-02-07 18:50:23
VCBNeo,5.3,2026-02-07 19:21:35,2026-02-07 18:50:23
VietCapitalBank,6.45,2026-02-07 19:21:35,2026-02-07 18:50:23
Vietcombank,4.6,2026-02-07 19:21:35,2026-02-07 18:50:23
VietinBank,5.2,2026-02-07 19:21:35,2026-02-07 18:50:23
VPBank,5.8,2026-02-07 19:21:35,2026-02-07 18:50:23
VRB,6.2,2026-02-07 19:21:35,2026-02-07 18:50:23
Agribank,4.7,2026-02-07 20:15:42,2026-02-07 18:50:23
Bắc Á,6.85,2026-02-07 20:15:42,2026-02-07 18:50:23
Bảo Việt,5.8,2026-02-07 20:15:42,2026-02-07 18:50:23
BIDV,5.2,2026-02-07 20:15:42,2026-02-07 18:50:23
GPBank,5.2,2026-02-07 20:15:42,2026-02-07 18:50:23
Hong Leong,4.6,2026-02-07 20:15:42,2026-02-07 18:50:23
